a,b,c,d,target
4.07,5.0,0.23,4.6,4.0
6.18,7.0,0.46,7.25,7.0
4.86,5.0,0.28,5.2,5.0
11.0,10.0,0.2,13.8,13.0
9.4,12.0,0.22,10.6,10.0
4.29,5.0,0.22,4.8,5.0
25.0,25.0,0.07,25.0,25.0
11.67,10.0,0.12,11.67,10.0
7.3,10.0,0.26,7.5,8.0
10.69,20.0,0.28,16.67,10.0
9.58,7.0,0.34,8.4,20.0
9.0,10.0,0.14,12.5,5.0
10.25,13.0,0.15,14.0,16.0
14.11,7.0,0.15,30.0,10.0
13.5,21.0,0.16,21.0,26.0
4.25,5.0,0.6,5.57,10.0
20.0,20.0,0.07,20.0,15.0
8.62,13.0,0.24,10.0,10.0
6.0,7.0,0.27,6.88,7.0
3.66,3.0,0.6,3.91,3.0
9.0,11.0,0.45,10.75,10.0
15.0,15.0,0.09,17.5,20.0
14.56,25.0,0.14,21.67,26.0
8.22,10.0,0.27,10.0,10.0
6.2,7.0,0.19,6.75,10.0
11.5,20.0,0.11,15.0,20.0
15.0,15.0,0.08,15.0,25.0
23.75,50.0,0.09,37.5,60.0
13.25,15.0,0.15,0.0,15.0
5.25,10.0,0.21,6.0,10.0
9.06,14.0,0.26,10.8,10.0
15.0,15.0,0.14,15.0,23.0
8.0,10.0,0.2,8.5,10.0
5.73,3.0,0.2,7.67,6.0
14.33,17.0,0.19,15.67,10.0
12.88,25.0,0.11,25.0,15.0
13.0,20.0,0.1,16.0,20.0
3.66,3.0,0.39,3.25,3.0
4.34,7.0,0.3,5.4,11.0
20.0,25.0,0.1,17.5,25.0
16.5,20.0,0.08,16.5,20.0
9.09,10.0,0.18,10.0,10.0
15.83,18.0,0.13,18.0,18.0
31.75,42.0,0.08,42.0,16.87
13.6,10.0,0.42,20.33,23.0
3.63,5.0,0.39,4.0,4.0
8.83,5.0,0.16,12.67,5.0
6.5,5.0,0.15,8.0,2.5
15.0,15.0,0.14,15.0,15.0
14.29,15.0,0.19,15.83,50.0
27.5,25.0,0.06,30.0,10.7
17.5,13.0,0.2,20.5,10.0
11.36,20.0,0.17,20.0,35.0
11.9,20.0,0.19,13.4,20.0
15.0,15.0,0.07,15.0,15.0
7.7,15.0,0.34,14.0,14.0
10.06,10.0,0.32,12.0,10.0
9.73,15.75,0.18,15.19,21.0
8.53,13.0,0.22,12.0,13.0
8.29,10.0,0.22,10.4,10.0
6.34,5.0,0.36,6.27,17.0
8.0,14.0,0.26,12.0,10.0
9.86,12.0,0.19,11.4,15.0
13.46,15.0,0.27,19.0,10.0
9.44,20.0,0.14,20.0,10.0
9.79,10.0,0.22,12.0,10.0
5.17,10.0,0.21,5.4,5.0
25.0,25.0,0.07,25.0,20.0
4.72,5.0,0.36,5.0,5.0
10.04,10.0,0.29,10.0,20.0
16.5,15.0,0.14,18.33,15.0
10.25,15.0,0.17,10.25,18.0
50.0,50.0,0.06,50.0,100.0
2.26,2.0,0.36,2.8,2.0
13.0,16.0,0.08,16.0,16.0
10.21,13.0,0.42,13.17,12.0
25.0,25.0,0.07,25.0,25.0
6.0,5.0,0.21,5.0,5.0
12.0,25.0,0.22,25.0,25.0
6.0,10.0,0.21,6.17,7.0
16.0,20.0,0.1,15.0,10.0
14.8,20.0,0.17,14.8,20.0
4.34,6.0,0.41,4.62,4.0
30.0,50.0,0.08,30.0,50.0
20.0,20.0,0.07,20.0,20.0
13.71,15.0,0.21,18.5,19.0
17.06,21.0,0.32,19.4,40.0
11.71,13.0,0.19,12.0,12.0
10.0,15.0,0.09,15.0,20.0
5.82,7.0,0.25,6.0,5.0
8.75,14.0,0.38,12.67,14.0
16.33,25.0,0.1,25.0,25.0
9.8,15.0,0.14,9.67,15.0
13.0,17.0,0.14,15.0,10.0
4.7,5.0,0.29,5.0,5.0
9.55,15.0,0.24,12.5,12.0
8.0,15.0,0.19,12.25,15.0
12.17,15.0,0.19,13.5,13.0
7.6,6.0,0.24,9.0,10.0
11.0,12.0,0.2,11.0,15.0
9.3,11.0,0.2,10.8,12.0
10.33,19.0,0.1,19.0,38.0
7.62,10.0,0.2,7.67,10.0
